index_name;items;timeStamp
matrix;a team nanban (594mgnav) release - is everything in place? - you aren't supposed to relieve me. i know, but i felt like taking a shift. you like him, don't you? you like watching him. - don't be ridiculous. - we're gonna kill him. you understand that? morpheus believes he is the one.;00:00:04,594 -->   00:01:04,354
matrix;do you? it doesn't matter what i believe. you know, do you? - did you hear that? - hear what? are you sure this line is clean? yeah, of course i'm sure. i better go.;00:01:04,522 -->   00:01:17,659
matrix;"- freeze! police! - hands on your head! do it! do it now! - lieutenant. - oh, shit. lieutenant, you were given specific orders. i'm just doing my job. you give me that ""juris-my-dick-tion"" crap, you can cram it up your ass. the orders were for your protection. i think we can handle one little girl.";00:01:55,615 -->   00:02:40,784
matrix;i sent two units! they're bringing her down now! no, lieutenant, your men are already dead. shit. morpheus, the line was traced. i don't know how. i know. they cut the hard line. there's no time. get to another exit. - are there any agents? - yes. goddamn it. you have to focus, trinity. there's a phone at wells and lake. you can make it. - all right. - go. that's impossible. get up, trinity. just get up. get up. she got out. it doesn't matter. - the informant is real. - yes. we have the name of their next target. the name is neo. we'll need a search running. it has already begun.;00:02:45,915 -->   00:06:30,013
matrix;"what? what the hell? ""follow the white rabbit.""";00:07:24,777 -->   00:07:42,836
matrix;who is it? it's choi. yeah. yeah. you're two hours late. i know. it's her fault.;00:07:54,682 -->   00:08:14,409
matrix;you got the money? two grand. hold on. hallelujah. you're my savior. my own personal jesus christ.;00:08:14,577 -->   00:08:43,146
matrix;you get caught using that ... . i know. this never happened. you don't exist. - right. - something wrong, man? you look a little whiter than usual.;00:08:43,397 -->   00:08:53,156
matrix;my computer, it ... . ever have that feeling where you're not sure if you're awake or still dreaming? all the time. it's called mescaline. it's the only way to fly. it just sounds like you need to unplug.;00:08:54,283 -->   00:09:13,552
matrix;get some r and r? what do you think, dujour? should we take him with us? definitely. no, i can't. i have work tomorrow. come on. it'll be fun. i promise. yeah. sure. i'll go. hello, neo.;00:09:14,303 -->   00:10:11,026
matrix;how do you know that name? i know a lot about you. - who are you? - my name is trinity. trinity.;00:10:12,361 -->   00:10:21,202
matrix;the trinity? that cracked the lrs d-base? that was a long time ago. - jesus. - what?;00:10:22,830 -->   00:10:30,045
matrix;i just thought ...   ... you were a guy. most guys do. that was you on my computer.;00:10:30,504 -->   00:10:40,347
matrix;how did you do that? right now, all i can tell you ...   ... is that you're in danger. - i brought you here to warn you. - of what? they're watching you, neo. - who is? - please just listen. i know why you're here, neo. i know what you've been doing.;00:10:40,973 -->   00:11:03,828
matrix;i know why you hardly sleep ...   ... why you live alone and why, night after night ...   ... you sit at your computer. you're looking for him. i know, because i was once looking for the same thing.;00:11:04,080 -->   00:11:18,468
matrix;and when he found me ...   ... he told me i wasn't really looking for him ...   ... i was looking for an answer. it's the question that drives us, neo. it's the question that brought you here.;00:11:18,969 -->   00:11:34,567
matrix;you know the question ...   ... just as i did. what is the matrix? the answer is out there, neo. it's looking for you.;00:11:36,654 -->   00:11:48,331
matrix;and it will find you ...   ... if you want it to. shit. shit, shit. you have a problem with authority, mr. anderson. you believe that you are special, that somehow the rules do not apply to you. obviously, you are mistaken.;00:11:49,125 -->   00:12:22,323
matrix;this company is one of the top software companies in the world ...   ... because every single employee understands that they are part of a whole. thus, if an employee has a problem, the company has a problem. the time has come to make a choice, mr. anderson.;00:12:25,286 -->   00:12:42,135
matrix;either you choose to be at your desk on time from this day forth ...   ... or you choose to find yourself another job. do i make myself clear? yes, mr. rhineheart. perfectly clear.;00:12:43,012 -->   00:12:54,981
matrix;thomas anderson? yeah, that's me. okay. great. have a nice day.;00:13:03,115 -->   00:13:19,756
matrix;hello? hello, neo. do you know who this is? - morpheus. - yes. i've been looking for you. i don't know if you're ready to see what i want to show you. but unfortunately, you and l have run out of time. they're coming for you neo, and i don't know what they're going to do.;00:13:35,231 -->   00:13:56,960
matrix;who's coming for me? stand up and see for yourself. what? right now? yes. now. do it slowly. the elevator. - oh, shit! - yes.;00:13:57,211 -->   00:14:16,479
matrix;what the hell do they want from me? i don't know but if you don't want to find out, get out of there. how? i can guide you, but you must do exactly as i say. - okay. - the cubicle across from you is empty. - but what if they-- - go. now. stay here for just a moment.;00:14:21,151 -->   00:14:47,594
matrix;when i tell you, go to the end of the row ...   ... to the office at the end of the hall. stay as low as you can. go. now. good. now, outside there is a scaffold. - how do you know this? - we don't have time. to your left there's a window. go to it. open it. take the scaffold to the roof.;00:14:54,810 -->   00:15:38,311
matrix;no way! no way! this is crazy! there are two ways out of this building. one is that scaffold. the other is in their custody. you take a chance either way. i leave it to you.;00:15:38,562 -->   00:15:51,282
matrix;this is insane! why is this happening to me? what'd i do? i'm nobody. i didn't do anything. i'm gonna die.;00:15:54,870 -->   00:16:06,756
matrix;shit! oh, shit! i can't do this. shit. as you can see, we've had our eye on you for some time now, mr. anderson.;00:16:16,558 -->   00:17:53,529
matrix;it seems that you've been living ...   ... two lives. in one life, you're thomas a. anderson ...   ... program writer for a respectable software company. you have a social security number. you pay your taxes.;00:17:54,823 -->   00:18:11,714
matrix;"and you ...   ... help your landlady carry out her garbage. the other life is lived in computers ...   ... where you go by the hacker alias ""neo"" ...   ... and are guilty of virtually every computer crime we have a law for. one of these lives ...   ... has a future. and one of them does not. i'm going to be as forthcoming as i can be, mr. anderson.";00:18:12,174 -->   00:18:47,792
matrix;"you're here ...   ... because we need your help. we know that you've been contacted by a certain ...   ... individual. a man who calls himself ""morpheus."" whatever you think you know about this man is irrelevant.";00:18:48,794 -->   00:19:11,357
matrix;he is considered by many authorities ...   ... to be the most dangerous man alive. my colleagues ...   ... believe that i am wasting my time with you. but i believe you wish to do the right thing.;00:19:11,608 -->   00:19:28,332
matrix;we're willing to wipe the slate clean ...   ... give you a fresh start. all we're asking in return is your cooperation ...   ... in bringing a known terrorist to justice. yeah. that sounds like a really good deal. but i think i got a better one.;00:19:28,625 -->   00:19:51,189
